Date,Product,Region,Sales,Profit_Margin
2025-03-18,Quantum Chip,Europe,22972.0,37.90971856464719
2025-03-19,AI Server,Asia Pacific,21714.0,44.770133280809034
2025-03-20,Quantum Chip,North America,44250.0,30.459458952784022
2025-03-21,AI Server,Asia Pacific,20308.5,32.51904494610409
2025-03-22,Cloud Subscription,Asia Pacific,21315.0,20.264060608376838
2025-03-23,Cloud Subscription,North America,6023.0,40.905828988721595
2025-03-24,AI Server,Asia Pacific,38596.5,38.43787262115349
2025-03-25,VR Headset,Europe,6745.0,43.55891012427076
2025-03-26,VR Headset,Europe,6937.0,15.953780371163884
2025-03-27,Cloud Subscription,Europe,7325.0,19.632509158017374
2025-03-28,VR Headset,North America,47469.0,28.419516078044605
2025-03-29,VR Headset,North America,32775.0,28.986481153550233
2025-03-30,Quantum Chip,North America,24855.0,41.740742069643005
2025-03-31,VR Headset,Europe,42759.0,32.55996587700206
2025-04-01,Quantum Chip,Asia Pacific,45989.0,27.390673372300586
2025-04-02,Quantum Chip,Asia Pacific,39467.0,35.151420700484465
2025-04-03,VR Headset,Europe,22043.0,21.59726137180936
2025-04-04,AI Server,North America,16528.5,38.92798742281508
2025-04-05,Quantum Chip,Asia Pacific,17292.0,10.470283293710514
2025-04-06,Quantum Chip,Europe,42482.0,12.23377546639867
2025-04-07,Cloud Subscription,Asia Pacific,46985.0,36.37524998513631
2025-04-08,Cloud Subscription,Europe,24605.0,34.11390143296888
2025-04-09,Quantum Chip,Asia Pacific,36912.0,23.62993189949177
2025-04-10,Quantum Chip,Asia Pacific,24049.0,12.572129574238115
